state,2019-12-29,2020-01-05,2020-01-12,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13
02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,8.0,3.0,15.0,12.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,2.0,2.0,1.0,3.0,4.0,5.0,17.0,3.0,2.0,6.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,3.0,14.0,10.0,20.0,21.0
01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,13.0,23.0,8.0,14.0,12.0,4.0,33.0,32.0,25.0,40.0,40.0,38.0,45.0,28.0,27.0,19.0,41.0,20.0,19.0,22.0,17.0,11.0,18.0,19.0,32.0,19.0,9.0,19.0,15.0,16.0,20.0,19.0,20.0,13.0,18.0,14.0,18.0,20.0,31.0,21.0,18.0,28.0,22.0,33.0,27.0,22.0,19.0,11.0,18.0,11.0,11.0,14.0,8.0,23.0,29.0,19.0,32.0,23.0,34.0,20.0,60.0,25.0,33.0,22.0,18.0,17.0,12.0,20.0,14.0,35.0,30.0,30.0,25.0,32.0,29.0,19.0,30.0,13.0,25.0,15.0,12.0,22.0,19.0,18.0,17.0,14.0,10.0,24.0,21.0,10.0,19.0,12.0,19.0,11.0,19.0,21.0,11.0,17.0,20.0,24.0,41.0,86.0,141.0,262.0,360.0,303.0,227.0
05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,15.0,7.0,9.0,12.0,6.0,14.0,9.0,12.0,23.0,26.0,30.0,10.0,25.0,21.0,27.0,12.0,15.0,19.0,22.0,14.0,17.0,10.0,20.0,26.0,24.0,15.0,6.0,4.0,8.0,12.0,7.0,7.0,4.0,3.0,1.0,2.0,0.0,4.0,6.0,5.0,3.0,8.0,7.0,5.0,2.0,5.0,4.0,3.0,4.0,8.0,7.0,3.0,10.0,11.0,9.0,10.0,15.0,11.0,14.0,15.0,33.0,42.0,34.0,21.0,18.0,23.0,24.0,32.0,42.0,58.0,62.0,67.0,89.0,59.0,83.0,50.0,37.0,32.0,23.0,22.0,16.0,16.0,21.0,20.0,13.0,16.0,11.0,6.0,21.0,14.0,5.0,8.0,7.0,4.0,3.0,8.0,6.0,4.0,8.0,10.0,21.0,40.0,50.0,84.0,141.0,215.0,207.0
04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,19.0,25.0,18.0,21.0,13.0,33.0,16.0,65.0,20.0,18.0,27.0,10.0,12.0,14.0,7.0,15.0,10.0,29.0,10.0,14.0,5.0,11.0,6.0,7.0,3.0,21.0,8.0,13.0,3.0,6.0,13.0,3.0,9.0,3.0,13.0,1.0,5.0,5.0,4.0,4.0,18.0,12.0,7.0,8.0,3.0,4.0,2.0,13.0,27.0,28.0,4.0,8.0,10.0,11.0,11.0,18.0,33.0,30.0,44.0,68.0,149.0,79.0,37.0,27.0,39.0,38.0,63.0,66.0,72.0,91.0,85.0,113.0,131.0,108.0,112.0,101.0,147.0,162.0,176.0,212.0,237.0,196.0,204.0,87.0,52.0,41.0,13.0,15.0,13.0,19.0,21.0,11.0,11.0,18.0,16.0,16.0,5.0,7.0,9.0,10.0,18.0,14.0,22.0,34.0,84.0,153.0,346.0
06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,29.0,31.0,44.0,41.0,81.0,39.0,58.0,54.0,62.0,56.0,83.0,46.0,44.0,20.0,19.0,24.0,19.0,24.0,16.0,18.0,13.0,13.0,5.0,9.0,10.0,19.0,9.0,15.0,8.0,12.0,13.0,7.0,4.0,9.0,15.0,5.0,9.0,14.0,8.0,10.0,16.0,12.0,6.0,8.0,7.0,8.0,6.0,15.0,12.0,14.0,10.0,17.0,8.0,19.0,19.0,25.0,28.0,54.0,66.0,70.0,118.0,97.0,93.0,81.0,64.0,30.0,32.0,34.0,18.0,34.0,32.0,45.0,57.0,63.0,84.0,106.0,100.0,165.0,218.0,202.0,308.0,386.0,405.0,453.0,397.0,304.0,238.0,192.0,122.0,102.0,64.0,46.0,39.0,38.0,39.0,33.0,35.0,29.0,24.0,35.0,72.0,93.0,97.0,124.0,211.0,456.0,928.0,1632.0
08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,3.0,2.0,5.0,6.0,11.0,5.0,0.0,4.0,6.0,5.0,1.0,1.0,1.0,1.0,8.0,1.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,2.0,4.0,2.0,3.0,3.0,5.0,1.0,4.0,3.0,0.0,6.0,1.0,4.0,4.0,6.0,4.0,4.0,4.0,18.0,30.0,41.0,53.0,63.0,27.0,29.0,9.0,11.0,20.0,27.0,22.0,27.0,25.0,42.0,60.0,94.0,117.0,105.0,146.0,187.0,168.0,260.0,171.0,110.0,91.0,72.0,33.0,27.0,9.0,14.0,11.0,11.0,8.0,9.0,14.0,8.0,11.0,1.0,1.0,3.0,3.0,4.0,3.0,1.0,5.0,15.0,32.0,32.0,61.0,102.0
09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,14.0,16.0,16.0,25.0,21.0,8.0,2.0,11.0,2.0,4.0,0.0,1.0,7.0,7.0,6.0,18.0,25.0,30.0,44.0,51.0,50.0,57.0,76.0,79.0,63.0,34.0,20.0,37.0,14.0,4.0,9.0,4.0,3.0,6.0,4.0,3.0,0.0,2.0,9.0,4.0,3.0,4.0,3.0,2.0,3.0,9.0,9.0,37.0,41.0,58.0,109.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,4.0,4.0,2.0,4.0,2.0,2.0,1.0,4.0,1.0,5.0,4.0,6.0,4.0,1.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,8.0,11.0,36.0,44.0,39.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,2.0,6.0,5.0,9.0,10.0,13.0,10.0,17.0,9.0,6.0,5.0,1.0,0.0,2.0,3.0,1.0,1.0,7.0,6.0,7.0,4.0,14.0,41.0,18.0,6.0,7.0,4.0,4.0,4.0,9.0,5.0,2.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,11.0,15.0,61.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,25.0,35.0,38.0,41.0,40.0,35.0,33.0,58.0,80.0,42.0,52.0,53.0,65.0,44.0,92.0,53.0,49.0,47.0,53.0,51.0,82.0,78.0,49.0,50.0,73.0,55.0,36.0,51.0,42.0,41.0,37.0,29.0,16.0,28.0,35.0,25.0,34.0,53.0,30.0,41.0,49.0,43.0,34.0,26.0,22.0,30.0,35.0,29.0,32.0,38.0,30.0,48.0,39.0,45.0,65.0,76.0,78.0,90.0,92.0,107.0,116.0,126.0,86.0,132.0,74.0,61.0,79.0,64.0,74.0,66.0,72.0,69.0,73.0,109.0,96.0,103.0,165.0,163.0,179.0,223.0,306.0,406.0,542.0,680.0,556.0,465.0,321.0,205.0,177.0,134.0,97.0,81.0,87.0,89.0,67.0,75.0,70.0,60.0,78.0,81.0,77.0,110.0,105.0,125.0,260.0,304.0,487.0,493.0
