index,lead_time,cnty,step_ahead,ensemble_mean,true,calibrated_sigma,captured_50,captured_75,captured_95
0,4,04013,1-step_ahead,2327.381729580954,2139.0,382.3261814957392,1,1,1
1,4,04013,2-step_ahead,1983.118452298757,2223.0,316.0534463791928,0,1,1
2,4,04013,3-step_ahead,2262.9720397715528,2481.0,123.22800290645395,0,0,1
3,4,04013,4-step_ahead,2381.3470569059205,2686.0,107.14024018448583,0,0,0
4,4,06037,1-step_ahead,3184.4801520573583,1238.0,1076.8028256686148,0,0,1
5,4,06037,2-step_ahead,2509.0556971611186,1704.0,1696.0524891813852,1,1,1
6,4,06037,3-step_ahead,1334.002514433048,2783.0,217.86757861985666,0,0,0
7,4,06037,4-step_ahead,1446.0304265267887,4709.0,605.8706859307231,0,0,0
8,4,06059,1-step_ahead,331.73059223403754,272.0,69.05528418221085,0,1,1
9,4,06059,2-step_ahead,227.36738065350494,303.0,33.87591088172089,0,0,1
10,4,06059,3-step_ahead,297.4121082701281,513.0,46.14111788230942,0,0,0
11,4,06059,4-step_ahead,479.67487682711703,394.0,69.29812992448497,0,0,1
12,4,06065,1-step_ahead,299.47485056476285,322.0,41.64977676531246,1,1,1
13,4,06065,2-step_ahead,306.6364926938945,2800.0,45.745818729413834,0,0,0
14,4,06065,3-step_ahead,2059.444111075782,832.0,587.9433509671059,0,0,1
15,4,06065,4-step_ahead,1268.8020019470885,293.0,1014.5394062134026,0,1,1
16,4,06073,1-step_ahead,588.4256605901107,577.0,34.984964377558974,1,1,1
17,4,06073,2-step_ahead,593.322049354131,706.0,40.07044686662922,0,0,0
18,4,06073,3-step_ahead,650.6070223383459,620.0,41.628595751608884,0,1,1
19,4,06073,4-step_ahead,647.4464571138617,1182.0,40.57003258973746,0,0,0
20,4,17031,1-step_ahead,-309.98954467455883,467.0,164.04448490845175,0,0,0
21,4,17031,2-step_ahead,-410.53119465239905,514.0,259.4342905458225,0,0,0
22,4,17031,3-step_ahead,66.1508212776186,458.0,261.1938416364652,0,0,1
23,4,17031,4-step_ahead,316.87416439343355,749.0,123.82708904353,0,0,0
24,4,36047,1-step_ahead,342.70386298397784,326.0,143.82556268389885,1,1,1
25,4,36047,2-step_ahead,230.4787805554472,357.0,44.207396728293766,0,0,1
26,4,36047,3-step_ahead,370.240402405331,345.0,38.438369328710074,1,1,1
27,4,36047,4-step_ahead,316.4008373920848,650.0,39.54496873928126,0,0,0
28,4,48113,1-step_ahead,611.1771389390435,796.0,90.18783566373824,0,0,1
29,4,48113,2-step_ahead,750.0604991088878,677.0,104.16583175731944,0,1,1
30,4,48113,3-step_ahead,768.566906008407,895.0,85.94096311810696,0,0,1
31,4,48113,4-step_ahead,826.7091941137694,1031.0,77.26589353917697,0,0,0
32,4,48201,1-step_ahead,1754.3495387708422,458.0,188.53464131970603,0,0,0
33,4,48201,2-step_ahead,789.5634151893121,1.0,303.82764457937094,0,0,0
34,4,48201,3-step_ahead,359.19906782574765,89.0,465.70579338907544,1,1,1
35,4,48201,4-step_ahead,-86.94103098648807,2051.0,191.43172713583135,0,0,0
36,6,04013,1-step_ahead,1699.3158712909153,2139.0,356.17082225331706,0,1,1
37,6,04013,2-step_ahead,2145.717220841126,2223.0,333.57398993991114,1,1,1
38,6,04013,3-step_ahead,2237.281356345853,2481.0,397.80981124940865,1,1,1
