cnty,horizon,method,fct_date,step_ahead,fct_mean,fct_std,true
04013,2022-04-17,AR_spatial,2022-04-24,1-step_ahead,1896.801210315366,270.6607353768124,1705.0
06037,2022-04-17,AR_spatial,2022-04-24,1-step_ahead,9434.127891989228,1203.3034303141744,12404.0
06059,2022-04-17,AR_spatial,2022-04-24,1-step_ahead,1779.4892933112976,153.606285797249,2354.0
06065,2022-04-17,AR_spatial,2022-04-24,1-step_ahead,1003.886593819296,126.37569831941327,1429.0
06073,2022-04-17,AR_spatial,2022-04-24,1-step_ahead,2810.889861514473,405.9252516172838,3451.0
17031,2022-04-17,AR_spatial,2022-04-24,1-step_ahead,9258.0515678613,720.3692319414073,11482.0
04013,2022-04-10,AR_spatial,2022-04-17,1-step_ahead,653.4814507612613,95.72379536600047,1874.0
06037,2022-04-10,AR_spatial,2022-04-17,1-step_ahead,6901.431677298237,920.95281638201,9319.0
06059,2022-04-10,AR_spatial,2022-04-17,1-step_ahead,1679.631665265819,213.7951035701539,1775.0
06065,2022-04-10,AR_spatial,2022-04-17,1-step_ahead,601.0664939596031,76.14151104833921,1024.0
06073,2022-04-10,AR_spatial,2022-04-17,1-step_ahead,2259.599708528616,311.64704783518886,2794.0
17031,2022-04-10,AR_spatial,2022-04-17,1-step_ahead,6887.762359255931,821.2625164683373,9227.0
36047,2022-04-10,AR_spatial,2022-04-17,1-step_ahead,4489.021105119455,542.2220138365693,4948.0
48113,2022-04-10,AR_spatial,2022-04-17,1-step_ahead,1507.6381943361675,115.69975578247087,800.0
48201,2022-04-10,AR_spatial,2022-04-17,1-step_ahead,2121.200958526997,160.76627650048098,2533.0
04013,2022-04-03,AR_spatial,2022-04-10,1-step_ahead,4750.744892162175,477.0633845929744,652.0
06037,2022-04-03,AR_spatial,2022-04-10,1-step_ahead,9290.956482678564,931.2442347865674,6881.0
06059,2022-04-03,AR_spatial,2022-04-10,1-step_ahead,940.131991903344,103.11161892929351,1659.0
06065,2022-04-03,AR_spatial,2022-04-10,1-step_ahead,705.0175734563455,69.24052401502071,587.0
06073,2022-04-03,AR_spatial,2022-04-10,1-step_ahead,2007.33453099666,187.6235710409936,2248.0
17031,2022-04-03,AR_spatial,2022-04-10,1-step_ahead,5682.894258246151,455.0911848819434,6831.0
36047,2022-04-03,AR_spatial,2022-04-10,1-step_ahead,3662.9266458372185,548.2730690078654,4461.0
48113,2022-04-03,AR_spatial,2022-04-10,1-step_ahead,13036.096610158032,1746.5422298280282,345.0
48201,2022-04-03,AR_spatial,2022-04-10,1-step_ahead,1510.018380568489,146.9732988487034,2108.0
04013,2022-03-27,AR_spatial,2022-04-03,1-step_ahead,8305.992191081632,639.4477172595144,4706.0
06037,2022-03-27,AR_spatial,2022-04-03,1-step_ahead,4307.22224515631,502.66541858969214,9282.0
06059,2022-03-27,AR_spatial,2022-04-03,1-step_ahead,889.7723309418719,124.6351401985203,936.0
06065,2022-03-27,AR_spatial,2022-04-03,1-step_ahead,514.2002334682123,59.45495574145252,771.0
06073,2022-03-27,AR_spatial,2022-04-03,1-step_ahead,2629.879575947876,452.0706896381767,2000.0
17031,2022-03-27,AR_spatial,2022-04-03,1-step_ahead,4091.921489418357,308.3010755573364,5668.0
36047,2022-03-27,AR_spatial,2022-04-03,1-step_ahead,3095.6727031480127,389.9019617219885,3634.0
48113,2022-03-27,AR_spatial,2022-04-03,1-step_ahead,976.2850984768048,86.48856045308531,421.0
48201,2022-03-27,AR_spatial,2022-04-03,1-step_ahead,2963.227513148416,225.737115856049,1501.0
04013,2022-03-20,AR_spatial,2022-03-27,1-step_ahead,3366.141197903904,362.9709174024298,8281.0
06037,2022-03-20,AR_spatial,2022-03-27,1-step_ahead,6723.6225355380775,823.5133189133622,4269.0
06059,2022-03-20,AR_spatial,2022-03-27,1-step_ahead,1429.331607429158,176.2630719633147,880.0
06065,2022-03-20,AR_spatial,2022-03-27,1-step_ahead,1091.7715618582918,165.21408077364956,560.0
06073,2022-03-20,AR_spatial,2022-03-27,1-step_ahead,3446.6651203649794,359.12229542926764,2585.0
17031,2022-03-20,AR_spatial,2022-03-27,1-step_ahead,3769.102503315662,314.10403477258603,4094.0
36047,2022-03-20,AR_spatial,2022-03-27,1-step_ahead,2560.771535947249,334.4461844240284,3073.0
48113,2022-03-20,AR_spatial,2022-03-27,1-step_ahead,607.9226212091678,55.71835796068893,975.0
48201,2022-03-20,AR_spatial,2022-03-27,1-step_ahead,16687.562894361236,1369.4526669873626,2957.0
04013,2022-03-13,AR_spatial,2022-03-20,1-step_ahead,3389.8560823262846,436.6102384052922,3359.0
06037,2022-03-13,AR_spatial,2022-03-20,1-step_ahead,11564.33930673775,1255.1308693700814,6694.0
06059,2022-03-13,AR_spatial,2022-03-20,1-step_ahead,1710.0063536008686,309.51216747963286,1430.0
06065,2022-03-13,AR_spatial,2022-03-20,1-step_ahead,1060.4766812344928,120.8014151792914,1085.0
06073,2022-03-13,AR_spatial,2022-03-20,1-step_ahead,3841.158428209642,458.6081003000888,3420.0
17031,2022-03-13,AR_spatial,2022-03-20,1-step_ahead,3281.444310677745,347.5665857657057,3765.0
36047,2022-03-13,AR_spatial,2022-03-20,1-step_ahead,2235.9529440498945,216.10509524885097,2531.0
48113,2022-03-13,AR_spatial,2022-03-20,1-step_ahead,490.6166922097988,37.16325885872443,610.0
