cnty,horizon,method,fct_date,step_ahead,fct_mean,true
04013,2020-08-02,AR,2020-08-09,1-step_ahead,7403.928333551472,3320.0
04013,2020-08-02,AR,2020-08-16,2-step_ahead,7117.630457276229,2820.0
04013,2020-08-02,AR,2020-08-23,3-step_ahead,7083.617861744281,1704.0
04013,2020-08-02,AR,2020-08-30,4-step_ahead,7771.159241456186,2467.0
04013,2020-08-09,AR,2020-08-16,1-step_ahead,3796.987181259696,2820.0
04013,2020-08-09,AR,2020-08-23,2-step_ahead,3890.792717214089,1704.0
04013,2020-08-09,AR,2020-08-30,3-step_ahead,3888.9662486719294,2467.0
04013,2020-08-09,AR,2020-09-06,4-step_ahead,3919.409861775341,1436.0
04013,2020-08-16,AR,2020-08-23,1-step_ahead,2612.751490229241,1704.0
04013,2020-08-16,AR,2020-08-30,2-step_ahead,2986.193081379204,2467.0
04013,2020-08-16,AR,2020-09-06,3-step_ahead,2991.843203581915,1436.0
04013,2020-08-16,AR,2020-09-13,4-step_ahead,2997.1893554575454,2294.0
04013,2020-08-23,AR,2020-08-30,1-step_ahead,1774.8261467427856,2467.0
04013,2020-08-23,AR,2020-09-06,2-step_ahead,2222.6062730943813,1436.0
04013,2020-08-23,AR,2020-09-13,3-step_ahead,1966.156283925816,2294.0
04013,2020-08-23,AR,2020-09-20,4-step_ahead,1983.8289725896573,1377.0
04013,2020-08-30,AR,2020-09-06,1-step_ahead,1551.8830261858218,1436.0
04013,2020-08-30,AR,2020-09-13,2-step_ahead,2226.192149475756,2294.0
04013,2020-08-30,AR,2020-09-20,3-step_ahead,1822.3875831726548,1377.0
04013,2020-08-30,AR,2020-09-27,4-step_ahead,1819.8533725891089,2005.0
04013,2020-09-06,AR,2020-09-13,1-step_ahead,1979.8258448683907,2294.0
04013,2020-09-06,AR,2020-09-20,2-step_ahead,2277.942841818231,1377.0
04013,2020-09-06,AR,2020-09-27,3-step_ahead,1668.5434013818003,2005.0
04013,2020-09-06,AR,2020-10-04,4-step_ahead,1668.93089603456,2879.0
04013,2020-09-13,AR,2020-09-20,1-step_ahead,2289.139360817061,1377.0
04013,2020-09-13,AR,2020-09-27,2-step_ahead,2478.328820730622,2005.0
04013,2020-09-13,AR,2020-10-04,3-step_ahead,2005.8107194633567,2879.0
04013,2020-09-13,AR,2020-10-11,4-step_ahead,2003.92471469616,3355.0
04013,2020-09-20,AR,2020-09-27,1-step_ahead,1412.2641087867844,2005.0
04013,2020-09-20,AR,2020-10-04,2-step_ahead,1411.5255913019337,2879.0
04013,2020-09-20,AR,2020-10-11,3-step_ahead,2064.717283627939,3355.0
04013,2020-09-20,AR,2020-10-18,4-step_ahead,1783.7379582869787,3975.0
04013,2020-09-27,AR,2020-10-04,1-step_ahead,2176.151166970484,2879.0
04013,2020-09-27,AR,2020-10-11,2-step_ahead,1857.178801390648,3355.0
04013,2020-09-27,AR,2020-10-18,3-step_ahead,2083.626765067052,3975.0
04013,2020-09-27,AR,2020-10-25,4-step_ahead,1924.7002375655263,5584.0
04013,2020-10-04,AR,2020-10-11,1-step_ahead,2049.434438190689,3355.0
04013,2020-10-04,AR,2020-10-18,2-step_ahead,2049.1792531136484,3975.0
04013,2020-10-04,AR,2020-10-25,3-step_ahead,2048.483992879036,5584.0
04013,2020-10-04,AR,2020-11-01,4-step_ahead,2048.696959721463,6941.0
04013,2020-10-11,AR,2020-10-18,1-step_ahead,2094.434141569282,3975.0
04013,2020-10-11,AR,2020-10-25,2-step_ahead,2094.057650491191,5584.0
04013,2020-10-11,AR,2020-11-01,3-step_ahead,3381.3014329866587,6941.0
04013,2020-10-11,AR,2020-11-08,4-step_ahead,3393.6346852956544,9255.0
04013,2020-10-18,AR,2020-10-25,1-step_ahead,2328.025886267724,5584.0
04013,2020-10-18,AR,2020-11-01,2-step_ahead,3668.659583582893,6941.0
04013,2020-10-18,AR,2020-11-08,3-step_ahead,3786.5181477387328,9255.0
04013,2020-10-18,AR,2020-11-15,4-step_ahead,3781.901119033761,12679.0
04013,2020-10-25,AR,2020-11-01,1-step_ahead,4120.0240184086215,6941.0
04013,2020-10-25,AR,2020-11-08,2-step_ahead,3783.667378725411,9255.0
04013,2020-10-25,AR,2020-11-15,3-step_ahead,5248.338595099864,12679.0
04013,2020-10-25,AR,2020-11-22,4-step_ahead,5280.997916142145,16027.0
04013,2020-11-01,AR,2020-11-08,1-step_ahead,6337.141906640496,9255.0
04013,2020-11-01,AR,2020-11-15,2-step_ahead,5504.015158962857,12679.0
04013,2020-11-01,AR,2020-11-22,3-step_ahead,4828.430491784645,16027.0
04013,2020-11-01,AR,2020-11-29,4-step_ahead,6744.046547349247,22119.0
04013,2020-11-08,AR,2020-11-15,1-step_ahead,9194.601650720697,12679.0
04013,2020-11-08,AR,2020-11-22,2-step_ahead,7660.424024447188,16027.0
04013,2020-11-08,AR,2020-11-29,3-step_ahead,7660.742283577449,22119.0
04013,2020-11-08,AR,2020-12-06,4-step_ahead,7682.586941363001,24537.0
04013,2020-11-15,AR,2020-11-22,1-step_ahead,13185.563201247736,16027.0
